CD_PREST,CD_PREST_VINC,CD_END,CD_END_VINC,ID_ORIGEM
2,164000293000,Residencial,Residencial,307917
2,164000294252,Residencial,Residencial,308012
4,164000294252,Comercial,Comercial,386685
1,164000296042,Comercial,Comercial,233978
2,164000296042,Residencial,Residencial,233979
1,164000298177,Comercial,Comercial,233982
3,164000298177,Residencial,Residencial,302809
1,164000302620,Comercial,Comercial,233986
3,164000302620,Residencial,Residencial,343760
1,164000306803,Comercial,Comercial,233989
2,164000306803,Residencial,Residencial,233990
1,164000309527,Comercial,Comercial,233994
4,164000309527,Residencial,Residencial,358025
1,164000310169,Comercial,Comercial,233995
2,164000310169,Residencial,Residencial,233996
3,164000315497,Comercial,Comercial,311638
5,164000315497,Residencial,Residencial,380571
1,164000321500,Comercial,Comercial,234004
6,164000321500,Residencial,Residencial,348050
7,164000321500,Residencial,Residencial,384943
3,164000322469,Residencial,Residencial,303345
4,164000322469,Comercial,Comercial,305503
1,164000322477,Comercial,Comercial,234007
2,164000322477,Residencial,Residencial,234008
1,164000322663,Comercial,Comercial,234009
2,164000322663,Residencial,Residencial,308001
2,164000332936,Residencial,Residencial,234013
4,164000332936,Comercial,Comercial,392261
1,164000335935,Comercial,Comercial,234015
2,164000335935,Residencial,Residencial,308010
1,164000341269,Comercial,Comercial,234017
2,164000341269,Residencial,Residencial,234018
2,164000345019,Residencial,Residencial,234020
3,164000345019,Comercial,Comercial,344831
1,164000348611,Comercial,Comercial,234025
2,164000348611,Residencial,Residencial,234026
2,164000355189,Residencial,Residencial,234028
4,164000355189,Comercial,Comercial,332299
1,164000359940,Comercial,Comercial,234031
4,164000359940,Residencial,Residencial,359589
1,164000364811,Comercial,Comercial,234033
3,164000364811,Residencial,Residencial,302947
1,164000365389,Comercial,Comercial,234035
2,164000365389,Residencial,Residencial,307920
2,164000367063,Residencial,Residencial,293215
4,164000367063,Comercial,Comercial,359307
1,164000367896,Comercial,Comercial,234038
2,164000367896,Residencial,Residencial,234039
1,164000371427,Residencial,Residencial,234041
4,164000371427,Comercial,Comercial,403310
3,164000386033,Residencial,Residencial,308009
4,164000386033,Comercial,Comercial,319501
1,164000388907,Comercial,Comercial,234050
4,164000388907,Residencial,Residencial,340252
1,164000393650,Comercial,Comercial,234051
2,164000393650,Residencial,Residencial,234052
1,164000416781,Comercial,Comercial,234059
2,164000416781,Residencial,Residencial,234060
3,164000436812,Comercial,Comercial,319528
4,164000436812,Residencial,Residencial,343756
1,16411000604,Comercial,Comercial,234067
1,16411000605,Comercial,Comercial,234068
1,16411000624,Comercial,Comercial,234069
1,164210004110,Comercial,Comercial,234076
1,164210004940,Comercial,Comercial,234077
3,164210004161,Comercial,Comercial,358672
1,164210004196,Comercial,Comercial,234082
2,164210004250,Comercial,Comercial,304338
1,164210004269,Comercial,Comercial,234085
1,164210004277,Comercial,Comercial,234086
1,164210004722,Comercial,Comercial,234088
1,164210004323,Comercial,Comercial,234091
1,164210004358,Comercial,Comercial,234094
1,164210004366,Comercial,Comercial,234095
1,164210004374,Comercial,Comercial,234096
2,164210004404,Comercial,Comercial,324358
1,164210004447,Comercial,Comercial,234102
1,164210004528,Comercial,Comercial,234102
1,164210004544,Comercial,Comercial,234102
1,164210004579,Comercial,Comercial,234102
1,164210004595,Comercial,Comercial,234102
1,164210006016,Comercial,Comercial,234102
1,164210006032,Comercial,Comercial,234102
1,164210004755,Comercial,Comercial,234102
1,164210006120,Comercial,Comercial,234102
1,164210004980,Comercial,Comercial,234102
1,164210005020,Comercial,Comercial,234102
1,164210005030,Comercial,Comercial,234102
1,164210006160,Comercial,Comercial,234102
1,164210004676,Comercial,Comercial,234104
2,164310005011,Comercial,Comercial,403408
1,164310005038,Comercial,Comercial,234106
1,164310005062,Comercial,Comercial,234108
1,164310005119,Comercial,Comercial,234110
1,164310005151,Comercial,Comercial,234114
1,164310005160,Comercial,Comercial,234115
1,164000650500,Residencial,Residencial,234638
3,164000650500,Comercial,Comercial,387968
2,164000746910,Comercial,Comercial,391706
3,164000746910,Residencial,Residencial,391709
2,164000670580,Residencial,Residencial,311426
4,164000670580,Comercial,Comercial,383521
3,164000542660,Residencial,Residencial,383035
5,164000542660,Comercial,Comercial,383037
6,164000542660,Comercial,Comercial,395176
1,164000541840,Residencial,Residencial,250409
2,164000541840,Comercial,Comercial,349685
5,164000346805,Comercial,Comercial,387262
6,164000346805,Residencial,Residencial,387268
7,164000346805,Comercial,Comercial,387303
1,164000403051,Comercial,Comercial,255822
3,164000403051,Residencial,Residencial,343724
1,164000653410,Comercial,Comercial,408475
3,164000653410,Residencial,Residencial,408476
2,164000665160,Comercial,Comercial,384638
3,164000665160,Residencial,Residencial,384641
4,164000665160,Comercial,Comercial,386189
1,164000569200,Comercial,Comercial,276999
2,164000569200,Residencial,Residencial,349700
4,164000569200,Comercial,Comercial,394591
2,164000477820,Residencial,Residencial,345626
3,164000477820,Comercial,Comercial,345627
2,164000638720,Comercial,Comercial,346149
3,164000638720,Residencial,Residencial,350674
1,164000744730,Residencial,Residencial,277080
3,164000744730,Comercial,Comercial,383312
5,164000681310,Residencial,Residencial,386406
6,164000681310,Comercial,Comercial,400858
1,164000657770,Comercial,Comercial,398573
3,164000657770,Comercial,Comercial,399638
4,164000657770,Residencial,Residencial,398574
1,164000555800,Comercial,Comercial,277119
2,164000555800,Residencial,Residencial,349891
2,164000733580,Residencial,Residencial,391678
3,164000733580,Comercial,Comercial,409008
2,164000621750,Residencial,Residencial,378052
4,164000621750,Comercial,Comercial,383311
1,164000230068,Comercial,Comercial,279913
2,164000230068,Residencial,Residencial,307952
2,164000210660,Residencial,Residencial,343753
3,164000210660,Comercial,Comercial,346177
1,164210004692,Comercial,Comercial,287675
1,164000274472,Residencial,Residencial,331810
3,164000274472,Comercial,Comercial,383103
1,164210004706,Comercial,Comercial,291234
1,164000435450,Residencial,Residencial,291639
5,164000435450,Comercial,Comercial,409011
1,164000415351,Comercial,Comercial,293077
4,164000415351,Residencial,Residencial,357944
